epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,195.938,1.34406,0.98839,1.16135,0.66818,0.4916,0.52956,0.28361,1.28143,0.923,1.11828,0.000434568,0.000434568,0.000434568
125,197.473,1.35176,0.9796,1.14338,0.66498,0.52694,0.53916,0.29305,1.28034,0.91837,1.11172,0.000429068,0.000429068,0.000429068
126,199.079,1.33227,0.9393,1.13678,0.66558,0.53222,0.56556,0.30644,1.30974,0.9055,1.11431,0.000423569,0.000423569,0.000423569
127,200.667,1.34029,0.95527,1.10752,0.66481,0.55659,0.5512,0.29122,1.26985,0.91361,1.1107,0.000418069,0.000418069,0.000418069
128,202.211,1.30119,0.92878,1.11942,0.59826,0.49905,0.53226,0.27559,1.28068,0.91967,1.1098,0.00041257,0.00041257,0.00041257
129,203.744,1.30423,0.90155,1.11406,0.56522,0.57228,0.541,0.28384,1.28365,0.92519,1.11141,0.00040707,0.00040707,0.00040707
130,205.27,1.32942,0.93956,1.09949,0.60069,0.54038,0.5545,0.30312,1.25596,0.9172,1.10767,0.000401571,0.000401571,0.000401571
131,206.857,1.3017,0.92785,1.13531,0.59852,0.53685,0.54774,0.30773,1.26518,0.87879,1.11166,0.000396071,0.000396071,0.000396071
132,208.409,1.28252,0.88892,1.11908,0.64763,0.4919,0.54678,0.29879,1.33839,0.91172,1.12543,0.000390572,0.000390572,0.000390572
133,209.935,1.3457,0.92137,1.10956,0.61513,0.51044,0.54699,0.30595,1.3227,0.91401,1.12096,0.000385073,0.000385073,0.000385073
134,211.469,1.30847,0.9273,1.11892,0.70789,0.49206,0.54678,0.30509,1.24397,0.87845,1.1011,0.000379573,0.000379573,0.000379573
135,213.015,1.31818,0.94851,1.14629,0.699,0.4546,0.53291,0.29569,1.30009,0.88626,1.11731,0.000374074,0.000374074,0.000374074
136,214.595,1.30645,0.9413,1.11878,0.59165,0.48576,0.5122,0.27297,1.28782,0.91634,1.123,0.000368574,0.000368574,0.000368574
137,216.162,1.28737,0.956,1.11011,0.61016,0.4306,0.50679,0.26909,1.26853,0.90494,1.11987,0.000363075,0.000363075,0.000363075
138,217.731,1.31528,0.921,1.12536,0.57705,0.47945,0.48582,0.27131,1.26061,0.87794,1.10847,0.000357575,0.000357575,0.000357575
139,219.269,1.31428,0.93912,1.15752,0.52626,0.53517,0.50211,0.27009,1.32945,0.86991,1.1088,0.000352076,0.000352076,0.000352076
140,220.814,1.35476,0.93204,1.10539,0.52742,0.5553,0.50628,0.27522,1.33145,0.88917,1.12327,0.000346576,0.000346576,0.000346576
141,222.351,1.32566,0.94011,1.14949,0.64178,0.52352,0.53826,0.28078,1.26424,0.87657,1.108,0.000341077,0.000341077,0.000341077
142,223.906,1.29799,0.92975,1.12153,0.65639,0.53605,0.55763,0.28898,1.24458,0.88458,1.10172,0.000335578,0.000335578,0.000335578
143,225.428,1.29922,0.92121,1.11028,0.64186,0.47909,0.55612,0.30443,1.29383,0.86492,1.10621,0.000330078,0.000330078,0.000330078
144,226.965,1.28735,0.88762,1.1049,0.65188,0.4988,0.53414,0.30032,1.27319,0.8555,1.0994,0.000324579,0.000324579,0.000324579
145,228.493,1.30936,0.88361,1.0874,0.66185,0.54027,0.5546,0.30974,1.24766,0.86057,1.09379,0.000319079,0.000319079,0.000319079
146,230.069,1.261,0.87701,1.12006,0.61836,0.55852,0.54234,0.29768,1.25736,0.89224,1.09751,0.00031358,0.00031358,0.00031358
147,231.721,1.28397,0.87912,1.10592,0.67231,0.52948,0.54242,0.28495,1.26202,0.88331,1.10049,0.00030808,0.00030808,0.00030808
148,233.263,1.25041,0.85817,1.07091,0.66318,0.52668,0.54137,0.29218,1.24562,0.86171,1.09537,0.000302581,0.000302581,0.000302581
149,234.778,1.26761,0.8912,1.09989,0.72974,0.46844,0.57075,0.31105,1.24162,0.85033,1.09175,0.000297081,0.000297081,0.000297081
150,236.321,1.27583,0.8798,1.11221,0.7915,0.52319,0.59276,0.33253,1.26288,0.8599,1.08733,0.000291582,0.000291582,0.000291582
151,237.856,1.28204,0.88219,1.09103,0.78249,0.49872,0.58925,0.32757,1.26968,0.86068,1.0857,0.000286083,0.000286083,0.000286083
152,239.417,1.29173,0.88375,1.10611,0.72455,0.50531,0.57851,0.31865,1.24088,0.85872,1.08394,0.000280583,0.000280583,0.000280583
153,240.985,1.22856,0.89601,1.10352,0.69218,0.51815,0.57419,0.31909,1.26059,0.86076,1.0893,0.000275084,0.000275084,0.000275084
154,242.583,1.29219,0.89148,1.11053,0.66677,0.52274,0.56645,0.30213,1.30832,0.86829,1.10339,0.000269584,0.000269584,0.000269584
155,244.12,1.27008,0.85835,1.09046,0.68149,0.49594,0.58317,0.31893,1.25372,0.89441,1.0936,0.000264085,0.000264085,0.000264085
